locus	erv.assigned	CLADE	locus_name
RETROSEQ_chr1:25791-25891	cPa391	Beta-like2	ERV-AB2.cPa391.1-CamPar
RETROSEQ_chr1:35186-35286	PERVC_HM159246	Gamma	ERV-PERVC.1-CamPar
RETROSEQ_chr1:136801-136932	HERVHcons	Gamma-like	ERV-GE.cPaHcons.1-CamPar
RETROSEQ_chr1:137017-137117	HERVHcons	Gamma-like	ERV-GE.cPaHcons.2-CamPar
RETROSEQ_chr1:178380-178673	cPa260	Beta-like2	ERV-AB2.cPa260.1-CamPar
RETROSEQ_chr1:208328-208428	cPa227	Gamma-like	ERV-GE.cPa227.1-CamPar
RETROSEQ_chr1:211495-211614	cPa308	Beta-like2	ERV-AB2.cPa308.1-CamPar
RETROSEQ_chr1:211688-211853	cPa308	Beta-like2	ERV-AB2.cPa308.2-CamPar
RETROSEQ_chr1:215058-215158	cPa260	Beta-like2	ERV-AB2.cPa260.2-CamPar
RETROSEQ_chr1:216704-216804	cPa260	Beta-like2	ERV-AB2.cPa260.3-CamPar
RETROSEQ_chr1:238152-238252	cPa228	Beta-like2	ERV-AB2.cPa228.1-CamPar
RETROSEQ_chr1:253274-253710	cPa260	Beta-like2	ERV-AB2.cPa260.4-CamPar
RETROSEQ_chr1:255849-255949	cPa308	Beta-like2	ERV-AB2.cPa308.3-CamPar
RETROSEQ_chr1:258102-258202	cPa260	Beta-like2	ERV-AB2.cPa260.5-CamPar
RETROSEQ_chr1:258253-258353	cPa260	Beta-like2	ERV-AB2.cPa260.6-CamPar
RETROSEQ_chr1:269968-270407	cPa260	Beta-like2	ERV-AB2.cPa260.7-CamPar
RETROSEQ_chr1:289536-289636	cPa572	Beta-like1	ERV-AB1.cPa572.1-CamPar
RETROSEQ_chr1:289661-289761	cPa572	Beta-like1	ERV-AB1.cPa572.2-CamPar
RETROSEQ_chr1:292367-292792	cPa260	Beta-like2	ERV-AB2.cPa260.8-CamPar
RETROSEQ_chr1:293221-293505	cPa260	Beta-like2	ERV-AB2.cPa260.9-CamPar
RETROSEQ_chr1:308662-308762	cPa260	Beta-like2	ERV-AB2.cPa260.10-CamPar
RETROSEQ_chr1:308826-308926	cPa260	Beta-like2	ERV-AB2.cPa260.11-CamPar
RETROSEQ_chr1:309232-309486	cPa327	Beta-like2	ERV-AB2.cPa327.1-CamPar
RETROSEQ_chr1:309603-309848	cPa452	Beta-like1	ERV-AB1.cPa452.1-CamPar
RETROSEQ_chr1:310514-310970	cPa183	Beta-like1	ERV-AB1.cPa183.1-CamPar
RETROSEQ_chr1:314944-315080	HERVHcons	Gamma-like	ERV-GE.cPaHcons.3-CamPar
RETROSEQ_chr1:368393-368504	cPa260	Beta-like2	ERV-AB2.cPa260.12-CamPar
RETROSEQ_chr1:368532-368632	cPa260	Beta-like2	ERV-AB2.cPa260.13-CamPar
RETROSEQ_chr1:375886-376033	cPa260	Beta-like2	ERV-AB2.cPa260.14-CamPar
RETROSEQ_chr1:407416-407646	cPa260	Beta-like2	ERV-AB2.cPa260.15-CamPar
RETROSEQ_chr1:407669-407769	cPa260	Beta-like2	ERV-AB2.cPa260.16-CamPar
RETROSEQ_chr1:420521-420621	cPa308	Beta-like2	ERV-AB2.cPa308.4-CamPar
RETROSEQ_chr1:435617-435763	cPa260	Beta-like2	ERV-AB2.cPa260.17-CamPar
RETROSEQ_chr1:444314-444426	cPa15	SnRV-like	ERV-S.cPa15.1-CamPar
RETROSEQ_chr1:470731-470970	cPa260	Beta-like2	ERV-AB2.cPa260.18-CamPar
RETROSEQ_chr1:487507-487854	cPa228	Beta-like2	ERV-AB2.cPa228.2-CamPar
RETROSEQ_chr1:499021-499121	cPa228	Beta-like2	ERV-AB2.cPa228.3-CamPar
RETROSEQ_chr1:500352-500545	HERVHcons	Gamma-like	ERV-GE.cPaHcons.4-CamPar
RETROSEQ_chr1:511347-511594	cPa446	Beta-like1	ERV-AB1.cPa446.1-CamPar
RETROSEQ_chr1:513410-513510	FeFV_NC001871	Spuma	ERV-FeFV.1-CamPar
RETROSEQ_chr1:513670-513770	cPa391	Beta-like2	ERV-AB2.cPa391.2-CamPar
RETROSEQ_chr1:515304-515574	cPa308	Beta-like2	ERV-AB2.cPa308.5-CamPar
RETROSEQ_chr1:518417-518651	cPa308	Beta-like2	ERV-AB2.cPa308.6-CamPar
RETROSEQ_chr1:536227-536410	HIV1_NC001802	Lenti	ERV-HIV1.1-CamPar
RETROSEQ_chr1:539773-539876	cPa450	Gamma-like	ERV-GE.cPa450.1-CamPar
RETROSEQ_chr1:539907-540128	cPa450	Gamma-like	ERV-GE.cPa450.2-CamPar
RETROSEQ_chr1:557838-557938	cPa446	Beta-like1	ERV-AB1.cPa446.2-CamPar
RETROSEQ_chr1:558040-558155	cPa183	Beta-like1	ERV-AB1.cPa183.2-CamPar
RETROSEQ_chr1:558163-558502	cPa183	Beta-like1	ERV-AB1.cPa183.3-CamPar
RETROSEQ_chr1:611820-611920	cPa363	Beta-like1	ERV-AB1.cPa363.1-CamPar
RETROSEQ_chr1:620505-620605	FrMuLV_NC001362	Gamma	ERV-FrMuLV.1-CamPar
RETROSEQ_chr1:620627-620727	FrMuLV_NC001362	Gamma	ERV-FrMuLV.2-CamPar
RETROSEQ_chr1:632575-632847	cPa290	Beta-like1	ERV-AB1.cPa290.1-CamPar
RETROSEQ_chr1:662558-662658	cPa260	Beta-like2	ERV-AB2.cPa260.19-CamPar
RETROSEQ_chr1:664755-664905	cPa260	Beta-like2	ERV-AB2.cPa260.20-CamPar
RETROSEQ_chr1:673128-673236	cPa228	Beta-like2	ERV-AB2.cPa228.4-CamPar
RETROSEQ_chr1:698460-698560	cPa228	Beta-like2	ERV-AB2.cPa228.5-CamPar
RETROSEQ_chr1:698700-698810	cPa228	Beta-like2	ERV-AB2.cPa228.6-CamPar
RETROSEQ_chr1:707434-707534	cPa260	Beta-like2	ERV-AB2.cPa260.21-CamPar
RETROSEQ_chr1:709045-709196	HERVHcons	Gamma-like	ERV-GE.cPaHcons.5-CamPar
RETROSEQ_chr1:724034-724134	cPa260	Beta-like2	ERV-AB2.cPa260.22-CamPar
RETROSEQ_chr1:724168-724286	cPa260	Beta-like2	ERV-AB2.cPa260.23-CamPar
RETROSEQ_chr1:725460-725560	cPa452	Beta-like1	ERV-AB1.cPa452.2-CamPar
RETROSEQ_chr1:730357-730457	cPa327	Beta-like2	ERV-AB2.cPa327.2-CamPar
RETROSEQ_chr1:738582-738682	cPa450	Gamma-like	ERV-GE.cPa450.3-CamPar
RETROSEQ_chr1:743106-743230	cPa260	Beta-like2	ERV-AB2.cPa260.24-CamPar
RETROSEQ_chr1:757792-757975	HERVHcons	Gamma-like	ERV-GE.cPaHcons.6-CamPar
RETROSEQ_chr1:764765-764865	cPa228	Beta-like2	ERV-AB2.cPa228.7-CamPar
RETROSEQ_chr1:767536-767636	cPa194	Beta-like1	ERV-AB1.cPa194.1-CamPar
RETROSEQ_chr1:770243-770386	cPa228	Beta-like2	ERV-AB2.cPa228.8-CamPar
