"","locus","counts","chr","start","end","width","erv.call"
"CNV_chr2_15757201-15767400","CNV_chr2_15757201-15767400",4,"chr2",15757201,15767400,10199,"cPa345_cPa530_cPa515_cPa127_cPa540_cPa290_cPa531_cPa11_cPa241"
"CNV_chr2_17034901-17050800","CNV_chr2_17034901-17050800",9,"chr2",17034901,17050800,15899,"cPa264_cPa125_cPa227_cPa392_cPa268_cPa248_cPa118_cPa140_cPa130_cPa546_cPa257_cPa435_cPa523_cPa138_cPa572_cPa527_cPa107"
"CNV_chr2_19170601-19181700","CNV_chr2_19170601-19181700",200,"chr2",19170601,19181700,11099,"cPa479_cPa255_cPa131_cPa216_cPa478_cPa438"
"CNV_chr2_21120901-21129000","CNV_chr2_21120901-21129000",1,"chr2",21120901,21129000,8099,"cPa529_cPa545_cPa247_cPa95_cPa133"
"CNV_chr2_25848901-25854600","CNV_chr2_25848901-25854600",3,"chr2",25848901,25854600,5699,"cPa199_cPa223_cPa157_cPa229"
"CNV_chr2_26947501-26954100","CNV_chr2_26947501-26954100",8,"chr2",26947501,26954100,6599,"cPa199_cPa315"
"CNV_chr2_28456501-28468200","CNV_chr2_28456501-28468200",25,"chr2",28456501,28468200,11699,"cPa138"
"CNV_chr2_30670801-30684000","CNV_chr2_30670801-30684000",9,"chr2",30670801,30684000,13199,"HERV-W_repbase_HERV17_LTR17"
"CNV_chr2_46208701-46219200","CNV_chr2_46208701-46219200",14,"chr2",46208701,46219200,10499,"cPa142_cPa167"
"CNV_chr2_49216201-49223700","CNV_chr2_49216201-49223700",128,"chr2",49216201,49223700,7499,"cPa157_cPa121_cPa183_cPa229_cPa193_cPa500"
"CNV_chr2_55602601-55611900","CNV_chr2_55602601-55611900",8,"chr2",55602601,55611900,9299,"cPa51_cPa551_cPa145"
"CNV_chr2_75514201-75520500","CNV_chr2_75514201-75520500",3,"chr2",75514201,75520500,6299,"cPa264_cPa248_cPa443_cPa118_cPa140_cPa15_cPa125_cPa516_cPa268_cPa119"
"CNV_chr2_78699901-78710700","CNV_chr2_78699901-78710700",22,"chr2",78699901,78710700,10799,"cPa150_cPa302_cPa246"
"CNV_chr2_94781701-94793100","CNV_chr2_94781701-94793100",2,"chr2",94781701,94793100,11399,"cPa50_cPa333_cPa492_cPa157_cPa362_cPa391"
"CNV_chr2_96217801-96232800","CNV_chr2_96217801-96232800",1,"chr2",96217801,96232800,14999,"cPa205_cPa61_cPa260_cPa305_cPa424_cPa327_cPa459_cPa433_cPa542_cPa450_cPa390_cPa357"
"CNV_chr2_97379401-97390500","CNV_chr2_97379401-97390500",2,"chr2",97379401,97390500,11099,"cPa47_cPa425_cPa254_cPa268_cPa205_cPa61_cPa194_cPa264_cPa419_cPa75"
"CNV_chr2_119837101-119844000","CNV_chr2_119837101-119844000",240,"chr2",119837101,119844000,6899,"cPa264_cPa248_cPa443_cPa118_cPa140_cPa15_cPa125_cPa268_cPa119"
"CNV_chr2_124393501-124401000","CNV_chr2_124393501-124401000",5,"chr2",124393501,124401000,7499,"cPa121_cPa229_cPa183_cPa157_cPa193_cPa500_cPa188_cPa34_cPa465_cPa220"
"CNV_chr2_135066001-135072300","CNV_chr2_135066001-135072300",102,"chr2",135066001,135072300,6299,"cPa264_cPa248_cPa443_cPa118_cPa140_cPa15_cPa125_cPa516_cPa268_cPa119_cPa174_cPa254"
