locus,erv.assigned
RETROSEQ_chr1:100050605-100050705,cPa452
RETROSEQ_chr1:100389843-100390062,cPa248
RETROSEQ_chr1:10047614-10047714,cPa529
RETROSEQ_chr1:100484908-100485008,cPa391
RETROSEQ_chr1:100491838-100491938,cPa363
RETROSEQ_chr1:100647487-100647588,cPa572
RETROSEQ_chr1:1007442-1007628,cPa201
RETROSEQ_chr1:100920743-100920843,cPa11
RETROSEQ_chr1:101058868-101058968,cPa452
RETROSEQ_chr1:10112624-10112724,cPa391
RETROSEQ_chr1:1011282-1011382,cPa140
RETROSEQ_chr1:101159760-101159998,cPa541
RETROSEQ_chr1:101209269-101209369,cPa529
RETROSEQ_chr1:101270038-101270138,cPa529
RETROSEQ_chr1:10129122-10129222,cPa308
RETROSEQ_chr1:101382232-101382332,cPa248
RETROSEQ_chr1:101430401-101430501,PERV_AJ293656
RETROSEQ_chr1:101430531-101430884,PERV_AJ293656
RETROSEQ_chr1:101430889-101430989,PERV_AJ293656
RETROSEQ_chr1:101488715-101488836,cPa391
RETROSEQ_chr1:101723980-101724144,PtERV1_AC142352
RETROSEQ_chr1:101778301-101778401,cPa15
RETROSEQ_chr1:101789086-101789206,cPa391
RETROSEQ_chr1:101861256-101861356,cPa140
RETROSEQ_chr1:101889974-101890074,cPa140
RETROSEQ_chr1:10196130-10196325,cPa248
RETROSEQ_chr1:1021278-1021378,cPa163
RETROSEQ_chr1:102308175-102308275,cPa391
RETROSEQ_chr1:102363653-102363753,cPa391
RETROSEQ_chr1:102703253-102703353,cPa308
RETROSEQ_chr1:1028053-1028236,cPa424|cPa518
RETROSEQ_chr1:1028982-1029156,WDSV_NC001867
RETROSEQ_chr1:102976524-102976654,cPa452
RETROSEQ_chr1:10325516-10325616,cPa452
RETROSEQ_chr1:103532915-103533028,cPa452
RETROSEQ_chr1:10384467-10384602,cPa452
RETROSEQ_chr1:103874603-103874703,cPa363
RETROSEQ_chr1:104114759-104114881,cPa452
RETROSEQ_chr1:10415751-10415855,cPa391
RETROSEQ_chr1:104281795-104281895,cPa452
RETROSEQ_chr1:104317706-104317806,HERV_XA34_repbase_HERVFH21I_LTR21A
RETROSEQ_chr1:104423111-104423211,HERV_XA34_repbase_HERVFH21I_LTR21A
RETROSEQ_chr1:104444639-104444751,cPa140
RETROSEQ_chr1:104490463-104490563,HML1a_repbase_HERV_K14CI_LTR14C
RETROSEQ_chr1:10449331-10449560,cPa109
RETROSEQ_chr1:104500135-104500282,cPa248
RETROSEQ_chr1:104609575-104609675,cPa463
RETROSEQ_chr1:104642299-104642399,HERV_XA34_repbase_HERVFH21I_LTR21A
RETROSEQ_chr1:10465947-10466047,cPa541
RETROSEQ_chr1:104769299-104769399,cPa183|cPa327
RETROSEQ_chr1:104805322-104805459,cPa529
RETROSEQ_chr1:104900956-104901163,PERV_AJ293656
RETROSEQ_chr1:104903589-104903689,cPa529
RETROSEQ_chr1:104925321-104925421,cPa109
RETROSEQ_chr1:104967537-104967637,cPa391
RETROSEQ_chr1:105019346-105019446,cPa220
RETROSEQ_chr1:105049553-105049679,cPa224
RETROSEQ_chr1:105110854-105110954,cPa452
RETROSEQ_chr1:105449504-105449604,cPa140
RETROSEQ_chr1:105515645-105515781,HERV_XA34_repbase_HERVFH21I_LTR21A
RETROSEQ_chr1:105908183-105908283,cPa140
RETROSEQ_chr1:105955311-105955411,cPa199
RETROSEQ_chr1:106053801-106053901,VISNA_S55323
RETROSEQ_chr1:106080874-106080974,cPa391
RETROSEQ_chr1:106114703-106114889,cPa248
RETROSEQ_chr1:106144034-106144192,cPa264
RETROSEQ_chr1:106177674-106177774,HERV_XA34_repbase_HERVFH21I_LTR21A
RETROSEQ_chr1:106179791-106179891,cPa140
RETROSEQ_chr1:106215487-106215587,cPa220
RETROSEQ_chr1:106215594-106215854,cPa220
RETROSEQ_chr1:106236706-106236806,cPa257
RETROSEQ_chr1:106264301-106264401,cPa140
RETROSEQ_chr1:106270757-106270857,cPa452
RETROSEQ_chr1:106273757-106273861,cPa452
RETROSEQ_chr1:10638754-10638879,cPa529
RETROSEQ_chr1:106607413-106607513,cPa101
RETROSEQ_chr1:10701546-10701646,EqFV_NC002201
RETROSEQ_chr1:107078907-107079022,cPa452
RETROSEQ_chr1:107193022-107193414,cPa260
RETROSEQ_chr1:107303275-107303375,cPa140
RETROSEQ_chr1:107333886-107334007,cPa140
RETROSEQ_chr1:10737437-10737665,cPa255
RETROSEQ_chr1:107414406-107414506,cPa379
RETROSEQ_chr1:107414638-107414750,cPa379
RETROSEQ_chr1:107517630-107517730,cPa391
RETROSEQ_chr1:107521114-107521305,cPa452
RETROSEQ_chr1:107613148-107613315,cPa452
RETROSEQ_chr1:107620236-107620336,cPa482
RETROSEQ_chr1:107807367-107807560,WDSV_NC001867
RETROSEQ_chr1:107930968-107931076,cPa308
RETROSEQ_chr1:108000722-108000831,cPa391
RETROSEQ_chr1:108155575-108155675,cPa140
RETROSEQ_chr1:108217461-108217699,cPa443
RETROSEQ_chr1:108229497-108229597,cPa109
RETROSEQ_chr1:108303921-108304021,HERV_XA34_repbase_HERVFH21I_LTR21A
RETROSEQ_chr1:108304064-108304164,HERV_XA34_repbase_HERVFH21I_LTR21A
RETROSEQ_chr1:108335101-108335201,cPa140
RETROSEQ_chr1:108414668-108414768,cPa248
RETROSEQ_chr1:108435594-108435846,cPa183
RETROSEQ_chr1:108435921-108436204,cPa183
RETROSEQ_chr1:108437237-108437337,cPa140
RETROSEQ_chr1:108519089-108519191,cPa173
RETROSEQ_chr1:108653881-108653998,cPa199
RETROSEQ_chr1:108654009-108654210,cPa199
RETROSEQ_chr1:108694852-108694952,PERV_AJ293656
RETROSEQ_chr1:108695232-108695356,PERV_AJ293656
RETROSEQ_chr1:1087399-1087499,SIV_NC001549
RETROSEQ_chr1:1088174-1088274,cPa260
RETROSEQ_chr1:108820403-108820503,cPa140
RETROSEQ_chr1:108928171-108928271,cPa163
RETROSEQ_chr1:108928997-108929097,cPa140
RETROSEQ_chr1:108952241-108952368,HERV_XA34_repbase_HERVFH21I_LTR21A
RETROSEQ_chr1:109005746-109005884,cPa140
RETROSEQ_chr1:109050273-109050376,cPa11
RETROSEQ_chr1:10908892-10909068,cPa452
RETROSEQ_chr1:109127370-109127470,cPa285
RETROSEQ_chr1:109252541-109253083,cPa583
RETROSEQ_chr1:1093919-1094064,cPa260
RETROSEQ_chr1:109407841-109407945,cPa248
RETROSEQ_chr1:109448863-109448966,cPa109
RETROSEQ_chr1:109507348-109507448,cPa443
RETROSEQ_chr1:109507513-109507655,cPa443
RETROSEQ_chr1:109510779-109510891,cPa529
RETROSEQ_chr1:109538013-109538284,PERVC_HM159246
RETROSEQ_chr1:109596111-109596211,cPa363
RETROSEQ_chr1:109596218-109596335,cPa363
RETROSEQ_chr1:109617990-109618090,cPa194
RETROSEQ_chr1:109689961-109690061,cPa241
RETROSEQ_chr1:109699038-109699138,cPa542
RETROSEQ_chr1:109705255-109705384,cPa452
RETROSEQ_chr1:109737161-109737262,cPa199
RETROSEQ_chr1:109787194-109787294,cPa152
RETROSEQ_chr1:109787311-109787462,HML4_repbase_HERVK13I_LTR13
RETROSEQ_chr1:110025336-110025497,PERVB_AY099324
RETROSEQ_chr1:110050609-110050714,EIAV_NC001450
RETROSEQ_chr1:110126358-110126473,cPa11
RETROSEQ_chr1:110143600-110143700,cPa18
RETROSEQ_chr1:110148765-110148865,cPa541
RETROSEQ_chr1:110176647-110176747,cPa486
RETROSEQ_chr1:110176831-110176931,cPa308|cPa486
RETROSEQ_chr1:1102575-1102815,cPa194
RETROSEQ_chr1:1102868-1103115,cPa194
RETROSEQ_chr1:1103159-1103314,cPa194
RETROSEQ_chr1:1103360-1103460,cPa194
RETROSEQ_chr1:110367685-110367785,cPa140
RETROSEQ_chr1:110367883-110368003,cPa443
RETROSEQ_chr1:110370758-110370858,cPa248
RETROSEQ_chr1:110436386-110436506,cPa248
RETROSEQ_chr1:110469618-110469718,cPa394
RETROSEQ_chr1:110483506-110483674,cPa452
RETROSEQ_chr1:110507717-110507835,cPa452
RETROSEQ_chr1:110509083-110509183,cPa109
RETROSEQ_chr1:110563922-110564145,cPa18
RETROSEQ_chr1:110568976-110569076,cPa529
RETROSEQ_chr1:110582953-110583170,cPa273
RETROSEQ_chr1:11064456-11064780,cPa333
RETROSEQ_chr1:110672693-110672793,cPa443
RETROSEQ_chr1:110687876-110687976,cPa248
RETROSEQ_chr1:110722746-110722846,cPa176
RETROSEQ_chr1:110722889-110723032,cPa176
RETROSEQ_chr1:110723099-110723199,cPa176
RETROSEQ_chr1:110776334-110776454,cPa529
RETROSEQ_chr1:110797243-110797348,cPa248
RETROSEQ_chr1:110809257-110809357,cPa379
RETROSEQ_chr1:110886784-110886884,cPa391
RETROSEQ_chr1:110886956-110887056,cPa391
RETROSEQ_chr1:110977231-110977635,cPa183
RETROSEQ_chr1:111182134-111182234,cPa563
RETROSEQ_chr1:111258279-111258436,cPa140
RETROSEQ_chr1:111263071-111263171,cPa391
RETROSEQ_chr1:111266533-111266633,cPa391
RETROSEQ_chr1:111302236-111302463,cPa452
RETROSEQ_chr1:111365871-111365971,cPa248
RETROSEQ_chr1:111373328-111373428,cPa150
RETROSEQ_chr1:1114298-1114419,cPa308
RETROSEQ_chr1:11144282-11144389,cPa140
RETROSEQ_chr1:111461474-111461640,cPa530
RETROSEQ_chr1:111469831-111470021,VISNA_S55323
RETROSEQ_chr1:111565290-111565390,cPa127
RETROSEQ_chr1:111571186-111571288,cPa529
RETROSEQ_chr1:111576191-111576291,cPa308
RETROSEQ_chr1:111595370-111595529,cPa246
RETROSEQ_chr1:111609121-111609221,cPa190
RETROSEQ_chr1:111676927-111677080,cPa220
RETROSEQ_chr1:111685645-111685745,cPa157
RETROSEQ_chr1:111700136-111700340,cPa220
RETROSEQ_chr1:111710332-111710586,cPa381
RETROSEQ_chr1:111720300-111720409,PERV_AJ293656
RETROSEQ_chr1:111725297-111725461,cPa529
RETROSEQ_chr1:111748892-111748992,cPa391
RETROSEQ_chr1:111764908-111765305,cPa452
RETROSEQ_chr1:111794098-111794198,cPa163
RETROSEQ_chr1:1118307-1118407,cPa360
RETROSEQ_chr1:111867296-111867428,cPa541
RETROSEQ_chr1:111889739-111889881,cPa101
RETROSEQ_chr1:111907772-111907889,cPa140
RETROSEQ_chr1:111937116-111937225,cPa285
RETROSEQ_chr1:111945510-111945610,cPa257
RETROSEQ_chr1:111962990-111963090,cPa583
RETROSEQ_chr1:111966036-111966136,HML2_repbase_HERVK_LTR5
