locus,erv.assigned,erv.assigned.freq,n.erv.called,actual.stop,actual.start,all.hits.ervs,all.hits.counts,locus.width,mapped.width
chr1-100096040_100096227,cPa581,0.6,3,100096210,100096090,cPa356-cPa527-hybrid_cPa395-unknown_cPa581,1_1_3,187,120
chr1-10089520_10089765,cPa75,0.580645161290323,7,10089743,10089528,cPa260_cPa260-cPa75-hybrid_cPa62-HERV-W_repbase_HERV17_LTR17-hybrid_cPa62-unknown_cPa75_cPa75-HERV-W_repbase_HERV17_LTR17-hybrid_HERV-W_repbase_HERV17_LTR17,2_1_5_2_18_1_2,245,215
chr1-101297468_101297631,cPa62,0.96551724137931,2,101297589,101297508,cPa254_cPa62,1_28,163,81
chr1-101430640_101430764,HERV-W_repbase_HERV17_LTR17,0.769230769230769,6,101430722,101430648,cPa62-cPa293-hybrid_cPa62-HERV-W_repbase_HERV17_LTR17-hybrid_HERV-F_repbase_HERVFH19I_LTR19A_HERV-W_repbase_HERV17_LTR17_KoRV_AF151794_PERV_AJ293656,1_1_1_30_4_2,124,74
chr1-101465489_101465591,cPa62,0.944444444444444,2,101465541,101465523,cPa254_cPa62,1_17,102,18
chr1-101488728_101488830,cPa426,0.421052631578947,7,101488785,101488765,cPa287_cPa293_cPa391_cPa391-cPa287-hybrid_cPa391-cPa293-hybrid_cPa391-unknown_cPa426,2_2_2_2_1_2_8,102,20
chr1-101723981_101724096,PtERV1_AC142352,1,1,101724094,101724030,PtERV1_AC142352,9,115,64
chr1-10196137_10196247,cPa15,0.653846153846154,5,10196201,10196180,cPa118_cPa15_cPa15-cPa268-hybrid_cPa268_cPa268-cPa118-hybrid,1_17_1_5_2,110,21
chr1-1021278_1021380,cPa163,1,1,1021328,1021328,cPa163,1,102,0
chr1-102610526_102610645,cPa62,0.928571428571429,4,102610600,102610574,cPa293-unknown_cPa333-unknown_cPa62_cPa62-unknown,1_1_52_2,119,26
chr1-102633705_102633807,cPa75,1,1,102633755,102633755,cPa75,2,102,0
chr1-102633885_102634033,cPa75,1,1,102633981,102633931,cPa75,7,148,50
chr1-102668715_102668817,cPa75,1,1,102668765,102668765,cPa75,1,102,0
chr1-10325516_10325628,cPa363,0.333333333333333,5,10325576,10325564,cPa117-cPa174-hybrid_cPa363_cPa452_cPa452-cPa174-hybrid_cPa456,2_3_1_1_2,112,12
chr1-103849251_103849420,cPa62,0.761904761904762,5,103849413,103849250,cPa113-unknown_cPa62_cPa62-cPa75-hybrid_cPa75_cPa75-cPa62-hybrid,1_16_1_2_1,169,163
chr1-103849428_103850054,cPa62,0.641975308641975,11,103850025,103849478,cPa113_cPa113-cPa62-hybrid_cPa113-cPa75-hybrid_cPa113-unknown_cPa285_cPa285-cPa75-hybrid_cPa293_cPa293-cPa285-hybrid_cPa62_cPa75_cPa75-cPa62-hybrid,1_3_1_1_3_3_1_1_52_14_1,626,547
chr1-103850126_103850228,cPa75,0.375,4,103850190,103850161,cPa113-cPa62-hybrid_cPa285_cPa62_cPa75,2_1_2_3,102,29
chr1-103850283_103850391,cPa62,0.75,3,103850346,103850311,cPa285_cPa62_cPa75,2_9_1,108,35
chr1-103912267_103912460,cPa62,1,1,103912408,103912315,cPa62,39,193,93
chr1-104114775_104114877,cPa456,0.5,3,104114831,104114825,cPa117-cPa587-hybrid_cPa363_cPa456,1_1_2,102,6
chr1-104228838_104228940,cPa75-unknown,1,1,104228937,104228853,cPa75-unknown,8,102,84
chr1-10436800_10437031,cPa62,0.851063829787234,5,10436979,10436835,cPa285-unknown_cPa293-cPa62-hybrid_cPa293-unknown_cPa62_cPa62-unknown,1_1_1_40_4,231,144
chr1-10449460_10449562,cPa62,1,1,10449510,10449463,cPa62,2,102,47
chr1-104534370_104534562,cPa62,0.882352941176471,2,104534511,104534371,cPa62_cPa62-unknown,15_2,192,140
chr1-104757364_104757466,cPa492,1,1,104757414,104757408,cPa492,2,102,6
